iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
PNG,Oceania,Papua New Guinea,6/29/2020,11,0,0,0,1.229,0,0,0,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5
PRY,South America,Paraguay,6/29/2020,2127,185,15,0,298.211,25.938,2.103,0,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25
PER,South America,Peru,6/29/2020,279419,3430,9317,182,8474.472,104.028,282.574,5.52,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74
PHL,Asia,Philippines,6/29/2020,35455,652,1244,8,323.55,5.95,11.352,0.073,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23
POL,Europe,Poland,6/29/2020,33907,193,1438,3,895.906,5.1,37.995,0.079,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73
PRT,Europe,Portugal,6/29/2020,41646,457,1564,3,4084.26,44.818,153.383,0.294,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05
PRI,North America,Puerto Rico,6/29/2020,7189,123,153,1,2512.898,42.994,53.481,0.35,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1
QAT,Asia,Qatar,6/29/2020,94413,750,110,0,32770.23,260.321,38.18,0,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23
ROU,Europe,Romania,6/29/2020,26313,291,1612,23,1367.784,15.127,83.794,1.196,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05
RUS,Europe,Russia,6/29/2020,634437,6791,9073,104,4347.41,46.535,62.172,0.713,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58
RWA,Africa,Rwanda,6/29/2020,900,22,2,0,69.486,1.699,0.154,0,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02
KNA,North America,Saint Kitts and Nevis,6/29/2020,15,0,0,0,281.997,0,0,0,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23
LCA,North America,Saint Lucia,6/29/2020,19,0,0,0,103.469,0,0,0,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2
VCT,North America,Saint Vincent and the Grenadines,6/29/2020,29,0,0,0,261.386,0,0,0,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53
SMR,Europe,San Marino,6/29/2020,698,0,42,0,20566.916,0,1237.551,0,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97
STP,Africa,Sao Tome and Principe,6/29/2020,713,0,13,0,3253.316,0,59.317,0,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39
SAU,Asia,Saudi Arabia,6/29/2020,182493,3989,1551,40,5241.963,114.581,44.551,1.149,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13
SEN,Africa,Senegal,6/29/2020,6586,127,105,3,393.337,7.585,6.271,0.179,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94
SRB,Europe,Serbia,6/29/2020,14046,254,270,3,2064.193,37.328,39.679,0.441,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76
SYC,Africa,Seychelles,6/29/2020,11,0,0,0,111.857,0,0,0,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4
SLE,Africa,Sierra Leone,6/29/2020,1427,17,60,1,178.89,2.131,7.522,0.125,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7
SGP,Asia,Singapore,6/29/2020,43459,213,26,0,7428.453,36.408,4.444,0,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62
SXM,North America,Sint Maarten (Dutch part),6/29/2020,77,0,15,0,1795.625,0,349.797,0,42882,1209.088,,,,36327.232,,,,,,,,78.95
SVK,Europe,Slovakia,6/29/2020,1664,7,28,0,304.782,1.282,5.129,0,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54
SVN,Europe,Slovenia,6/29/2020,1581,9,111,0,760.487,4.329,53.393,0,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32
SOM,Africa,Somalia,6/29/2020,2894,16,90,0,182.09,1.007,5.663,0,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4
ZAF,Africa,South Africa,6/29/2020,138134,6334,2456,43,2329.068,106.797,41.41,0.725,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
KOR,Asia,South Korea,6/29/2020,12757,42,282,0,248.824,0.819,5.5,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03
SSD,Africa,South Sudan,6/29/2020,1989,31,36,0,177.689,2.769,3.216,0,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85
